"","Flow_from_user","Flow_to_user","flow"
"650","manish847211","manish847211",0
"651","manishaBJP","ssssidddd",0
"652","manishjagtap07","HemantRitu7",-1
"653","manngoman1","shalinigAAP",0
"654","manoharparrikar","das_prashant777",0
"655","manojrammoorthy","demonetizationn",0
"656","manthandoc","OnmanoramaLive",-1
"657","manutimsina","TweetZaade",0
"658","marghospitality","arjunknair",0
"659","marioisnothere","panromir",0
"660","MartinRapaport","rapaport",0
"661","Mash_Tweetwani","kunthavi5",0
"662","mass_comm_media","Mass_Comm_Media",-1
"663","Mass_Comm_Media","mass_comm_media",1
"664","max4974","Sri_Sri2002",0
"665","max70391931","_luxsplendor",0
"666","mayankjain100","ghostbustor",0
"667","MayurP2024","ashishchaniara",0
"668","MBQasmi","embracetheart",1
"669","medianama","sudhiirkrishnan",0
"670","meet_murtaza","faisalmoney",0
"671","mega_murali","sistlamurali",-1
"672","mehtadarshans","MEHTADARSHANS",0
"673","MEHTADARSHANS","mehtadarshans",0
"674","MensRightsFF","satishra1010",0
"675","meshrammanish07","juhichaturvedi",0
"676","mhmd2030","ziaahmedkhan",0
"677","milopqm2p","RiteshEconomist",0
"678","MiraPokhrel","abhijeet9839",0
"679","MirzaGhalib786","noahalishah",0
"680","misail_kalinin","thetanmay",0
"681","mituamin","stuartkenyon81",0
"682","mkankunj","_Narad",-1
"683","mkankunj","sanjeetbisht",0
"684","mkkhanmk","ahmedtells",0
"685","mmichav","finiterecursion",0
"686","mmrt95","RTIndia_ngo",0
"687","mocreighton","nosylviaplath",0
"688","Modern_Gypsy","ragemonk",1
"689","MohanRamadurai","anilkohli54",1
"690","momsdemandail","TomoNewsUS",0
"691","monetisation","sahilkhurana09",1
"692","MonicaDubey","vijaisalins",0
"693","monty_chadha","vanichandra2010",0
"694","moonsez","indieanarch",1
"695","moredeplorable","ryanward87",0
"696","mostlyeconomics","jayeshb",0
"697","MrMurali_M","clsmurali",0
"698","mrpatel1954","maniram50",0
"699","mrsbfitz","Agenda21Truth",0
"700","mrsinghcricump","ashwinmushran",0
"701","MSA_IND","vinaymathews",0
"702","msirsiwal","NCIndia",-1
"703","muh_pe_bolunga","PUNjipati",-1
"704","muh_pe_bolunga","sanmistryious",-1
