"","retweeters","tweeters","edge_type","weight"
"5282","PMOIndia","sunmeetsingh11","Mention_edge",1
"5283","rahulkanwal","sunmeetsingh11","Mention_edge",1
"5284","npci_npci","sunnyboyrohit","Mention_edge",1
"5285","paypal_in","sunnyboyrohit","Mention_edge",1
"5286","prod…","sunnyboyrohit","Mention_edge",1
"5287","yesbank","sunnyboyrohit","Mention_edge",1
"5288","evanspiegel","sunnykl1","Mention_edge",1
"5289","YouTube","sunsetdaily","Mention_edge",1
"5290","srinivasanravi","suparna_r","Mention_edge",1
"5291","evanspiegel","superkatrinafan","Mention_edge",1
"5292","evanspiegel","superstarmb_fan","Mention_edge",1
"5293","evanspiegel","supriya06sarma","Mention_edge",1
"5294","Ashut…","supriyadixit13","Mention_edge",1
"5295","narendramodi","supriyasehgal_3","Mention_edge",2
"5296","evanspiegel","suraj19888","Mention_edge",1
"5297","evanspiegel","suraj5418","Mention_edge",1
"5298","evanspiegel","suraj618","Mention_edge",1
"5299","DasShaktikanta","surajbhan02","Mention_edge",1
"5300","FinMinIndia","surajbhan02","Mention_edge",1
"5301","vikramgopal811","surajku01908018","Mention_edge",1
"5302","evanspiegel","surajya22041411","Mention_edge",1
"5303","ArvindKejriwal
htt…","surendr48293441","Mention_edge",1
"5304","Rajharitas","suresh_ghuraiya","Mention_edge",1
"5305","SalmanSoz","suresh_ghuraiya","Mention_edge",1
"5306","narendramodi","sureshultimate","Mention_edge",1
"5307","RBI","sureshultimate","Mention_edge",1
"5308","ArvindKejriwal","surgical_mp","Mention_edge",1
"5309","ndtv","surgical_mp","Mention_edge",1
"5310","PMOIndia","surihere","Mention_edge",8
"5311","SushmaSwaraj","surihere","Mention_edge",4
"5312","timesofindia","surryakant","Mention_edge",1
"5313","suryanavin","suryanavin","Mention_edge",1
"5314","humanitarianthe","suryarawlani","Mention_edge",1
"5315","DasShaktikanta","suryato6","Mention_edge",2
"5316","FinMinIndia","suryato6","Mention_edge",1
"5317","AmitShah","sushantberi","Mention_edge",1
"5318","evanspiegel","sushil31752456","Mention_edge",1
"5319","narendramodi","sushila_dn","Mention_edge",1
"5320","evanspiegel","sushiljangir007","Mention_edge",1
"5321","sardesairajdeep","sushilsk444","Mention_edge",1
"5322","FreeCharge","sutariadipen","Mention_edge",1
"5323","John_Miller_GLR","sutariadipen","Mention_edge",1
"5324","anandkamal","suyash1503","Mention_edge",1
"5325","narendramodi","suyash1503","Mention_edge",1
"5326","narendramodi","sv_9511","Mention_edge",1
"5327","narendramodi","sver2000","Mention_edge",1
"5328","msisodia","svictoriajust","Mention_edge",1
"5329","narendramodi","svp7","Mention_edge",1
"5330","NarendraModi","swachhpolitics","Mention_edge",1
"5331","ArvindKejriwal
htt…","swadeshihindu","Mention_edge",1
"5332","narendramodi","swapnil1_rs","Mention_edge",1
"5333","…","swapniljagdale8","Mention_edge",1
"5334","PrasadAol","swapniljagdale8","Mention_edge",1
"5335","rashminp","swapniljagdale8","Mention_edge",1
"5336","TarekFatah","swapniljagdale8","Mention_edge",1
