,retweeters,tweeters,edge_type,weight
9215,AdityaNair20,tarekfatah,Tweet_edge,1
9216,utimutualfund,tarifameen,Tweet_edge,1
9217,jamewils,tariq_43,Tweet_edge,1
9218,bsindia,tariquekhanjave,Tweet_edge,1
9219,Atheist_Krishna,tarunpall,Tweet_edge,1
9220,NG_withINC,tarunpatilinc,Tweet_edge,1
9221,YSRCParty,taruns_,Tweet_edge,1
9222,IncomeTaxIndia,taruntohana,Tweet_edge,1
9223,Hemant_80,tasneemdeshmukh,Tweet_edge,1
9224,_avenu,tauhid13,Tweet_edge,1
9225,ms_rana,taxbricks,Tweet_edge,1
9226,DrKumarVishwas,taxindia,Tweet_edge,1
9227,CNNnews18,tayengjyoti,Tweet_edge,1
9228,aartic02,tbshjml,Tweet_edge,1
9229,gauravcsawant,tclvimal,Tweet_edge,1
9230,URautelaForever,teamsupernandy,Tweet_edge,1
9231,cubishopcom,tech_singapore,Tweet_edge,1
9232,URautelaForever,techguruashwin,Tweet_edge,1
9233,aaanupriyaaa,techie_aman,Tweet_edge,1
9234,gauravcsawant,techie_aman,Tweet_edge,1
9235,DrKumarVishwas,techie_smart,Tweet_edge,1
9236,headstartdelhi,technogit,Tweet_edge,1
9237,bijonmehta,technowornever,Tweet_edge,1
9238,bitcoinagile,technowornever,Tweet_edge,1
9239,BatchMasterInd,techsiddhi,Tweet_edge,1
9240,rahulroushan,teddybrown,Tweet_edge,1
9241,embracetheart,teenasingh882,Tweet_edge,1
9242,ModiBharosa,teethonusrohit,Tweet_edge,1
9243,gauravcsawant,tejajuloori,Tweet_edge,1
9244,Dipankar_cpiml,tejasgadiya,Tweet_edge,1
9245,rahulroushan,tejash__p,Tweet_edge,2
9246,gauravcsawant,tejash_m,Tweet_edge,1
9247,URautelaForever,tejaswinikedare,Tweet_edge,1
9248,ModiBharosa,tejnarang,Tweet_edge,1
9249,URautelaForever,tejsx,Tweet_edge,1
9250,inIT_Telangan,telanganafacts,Tweet_edge,1
9251,MinIT_Telangana,telanganapost1,Tweet_edge,1
9252,MIB_India,teluguactress,Tweet_edge,1
9253,PIB_India,teluguactress,Tweet_edge,1
9254,MIB_India,teluguonetv,Tweet_edge,1
9255,PIB_India,teluguonetv,Tweet_edge,1
9256,TheOfficialSBI,tenchomlabe,Tweet_edge,1
9257,steve_hanke,teneohrtony,Tweet_edge,1
9258,URautelaForever,tenniswallah,Tweet_edge,1
9259,Joydeep_911,terikahkelunga,Tweet_edge,1
9260,priyaakulkarni2,terikahkelunga,Tweet_edge,1
9261,steve_hanke,terrygarai,Tweet_edge,1
9262,MarkDice,terrygsurvival,Tweet_edge,1
9263,anilkohli54,textilemail,Tweet_edge,1
9264,sandipsabharwal,tgsatish,Tweet_edge,1
9265,MahikaInfra,thagguwal,Tweet_edge,1
9266,DrKumarVishwas,thairaladka,Tweet_edge,1
9267,5Forty3,thakurprashanth,Tweet_edge,1
9268,ippatel,thakurprashanth,Tweet_edge,1
9269,URautelaForever,thamarai2311,Tweet_edge,1
9270,PankajPachauri,thambirajan,Tweet_edge,1
9271,harshkkapoor,thamidisetty,Tweet_edge,1
9272,bhaiyyajispeaks,thanda2kool,Tweet_edge,1
9273,URautelaForever,thandiibeer,Tweet_edge,1
9274,AmmU_MaanU,thangam5758,Tweet_edge,1
9275,goldenarcher,thaniruravibabu,Tweet_edge,1
9276,Brain_Humor,thanjairiz,Tweet_edge,1
9277,myvotetoday,thapateros,Tweet_edge,1
9278,ShashiTharoor,tharoorbhakt,Tweet_edge,1
9279,ShashiTharoor,tharooriankhan,Tweet_edge,2
9280,ShashiTharoor,tharoorincian,Tweet_edge,1
9281,PiyushGoyalOffc,thatakshay,Tweet_edge,1
9282,Timcast,thatassuknow,Tweet_edge,1
9283,gauravcsawant,the__fellow,Tweet_edge,1
9284,URautelaForever,the_abdulkadir,Tweet_edge,1
9285,AskAnshul,the_arm_chair,Tweet_edge,1
9286,payments_source,the_digital_coo,Tweet_edge,1
9287,Joydeep_911,the_equlizer,Tweet_edge,1
9288,aaanupriyaaa,the_kingonion,Tweet_edge,1
9289,Timcast,the_lion_rises,Tweet_edge,1
9290,RoflGandhi_,the_mawali,Tweet_edge,1
9291,barbarindian,the_pkc,Tweet_edge,1
9292,_MiteshPatel,the_sailor_men,Tweet_edge,1
9293,steve_hanke,the_sunilvarma,Tweet_edge,1
9294,URautelaForever,the_zahir_ahmed,Tweet_edge,2
9295,URautelaForever,theabhimohindra,Tweet_edge,1
9296,ElectionCmsn,theablamard,Tweet_edge,1
9297,HumorMinistry,thealaddin,Tweet_edge,1
9298,attomeybharti,theamolpatil,Tweet_edge,1
9299,rahulroushan,theamolpatil,Tweet_edge,1
9300,rajeev_mp,theamolpatil,Tweet_edge,1
9301,harshkkapoor,theangrylord,Tweet_edge,1
9302,IamRitzV,theangrylord,Tweet_edge,1
9303,URautelaForever,theankitasarkar,Tweet_edge,1
9304,MinIT_Telangana,thear_speaks,Tweet_edge,1
9305,GoldTrendsNet,thearmeniandad,Tweet_edge,1
9306,rahulroushan,thearvinddhar,Tweet_edge,1
9307,ModiBharosa,theashok1949,Tweet_edge,1
9308,priyaakulkarni2,theashoksingh,Tweet_edge,1
9309,rahulroushan,thebadbong,Tweet_edge,1
9310,AskAnshul,thebagchi,Tweet_edge,1
9311,ShashiTharoor,thebeerjunkie25,Tweet_edge,1
9312,Timcast,thebloodyhounds,Tweet_edge,1
9313,aaanupriyaaa,thebonggirl,Tweet_edge,1
9314,Timcast,theboybutler,Tweet_edge,1
9315,Joydas,thecableguy201,Tweet_edge,1
9316,rssurjewala,thecableguy201,Tweet_edge,1
9317,centerofright,thechakravartin,Tweet_edge,1
9318,gauravcsawant,thechanakyan,Tweet_edge,1
9319,rahulroushan,thechanakyan,Tweet_edge,1
9320,aaanupriyaaa,thechutneyboy,Tweet_edge,1
9321,AskAnshul,theckdas,Tweet_edge,1
9322,ShashiTharoor,thecontrarian01,Tweet_edge,1
9323,ShootinThoughts,thedevzworld,Tweet_edge,1
9324,attomeybharti,thedrunknight,Tweet_edge,1
9325,URautelaForever,thefaraazkhan,Tweet_edge,1
9326,dna,thefatalceo,Tweet_edge,1
9327,Timcast,thefinn12345,Tweet_edge,1
9328,TimesNow,thegandhians,Tweet_edge,1
9329,raveeshbhalla,thegeekyninja,Tweet_edge,1
9330,Gadgets360,thegoku003,Tweet_edge,1
9331,URautelaForever,thehalfbl00d,Tweet_edge,1
9332,URautelaForever,thehansraj,Tweet_edge,1
9333,PaulTassi,thehelmetfire,Tweet_edge,1
9334,AskAnshul,thehotbharatiya,Tweet_edge,2
9335,aaanupriyaaa,theidiotstory,Tweet_edge,1
9336,RealHistoryPic,theijtema,Tweet_edge,1
9337,PaulTassi,theirishtide,Tweet_edge,1
9338,kaushkrahul,thejaipurguy,Tweet_edge,1
